BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMmyc,SMURF2,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMmyc,SMYD3,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,2.0,0.03162277660168379
Treat_TMEMV5,SMYD3,0.9876559615507305,3.356431828102796e-11,0.012344038414717283,5.789256068870452,7.2365700861392535,8.68388410336655,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,2.0,0.03162277660168379
Treat_TMEMV5,SNAP23,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,SNAP23,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,1.0,0.03162277660168379
Treat_TMEMV5,SNAP47,0.07510829531610355,1.1335228195843922e-10,0.9248917045696192,5.789256068915203,7.2365700861392535,8.683884103379384,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,9.0,12.0,0.03162277660168379
Treat_TMEMmyc,SNAP47,0.4271684974125395,1.4081514079176955e-10,0.5728315024460726,6.335755677377908,7.9196945967109125,9.503633516049314,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,9.0,0.03162277660168379
Treat_TMEMV5,SNAPC1,0.9944758773588304,2.1629494427258315e-11,0.005524122618545647,5.789256068859305,7.2365700861392535,8.683884103366841,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,1.0,0.03162277660168379
Treat_TMEMmyc,SNAPC1,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,0.0,0.03162277660168379
Treat_TMEMmyc,SNAPC3,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,3.0,0.03162277660168379
