rank,Protein,BaitUnit,gamma3,pi1,pi2,pi3,rep1,rep2,gamma3_avg,FDR
1,DCTN1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,154.0,114.0,0.9999999999989999,1.000088900582341e-12
1,DDX1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,74.0,53.0,0.9999999999989999,1.000088900582341e-12
1,DDX1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,74.0,63.0,0.9999999999989999,1.000088900582341e-12
1,DDX17,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,100.0,83.0,0.9999999999989999,1.000088900582341e-12
1,DDX17,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,127.0,102.0,0.9999999999989999,1.000088900582341e-12
1,DDX21,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,80.0,70.0,0.9999999999989999,1.000088900582341e-12
1,DDX21,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,84.0,84.0,0.9999999999989999,1.000088900582341e-12
1,DDX24,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,63.0,48.0,0.9999999999989999,1.000088900582341e-12
1,DDX24,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,58.0,52.0,0.9999999999989999,1.000088900582341e-12
1,DDX3X,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,112.0,109.0,0.9999999999989999,1.000088900582341e-12
1,DDX3X,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,117.0,105.0,0.9999999999989999,1.000088900582341e-12
1,DDX5,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,106.0,85.0,0.9999999999989999,1.000088900582341e-12
1,DDX5,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,120.0,98.0,0.9999999999989999,1.000088900582341e-12
1,DHX15,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,70.0,60.0,0.9999999999989999,1.000088900582341e-12
1,DHX15,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,91.0,71.0,0.9999999999989999,1.000088900582341e-12
1,DHX30,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,103.0,92.0,0.9999999999989999,1.000088900582341e-12
1,DHX30,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,112.0,100.0,0.9999999999989999,1.000088900582341e-12
1,DHX9,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,120.0,108.0,0.9999999999989999,1.000088900582341e-12
1,DHX9,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,154.0,128.0,0.9999999999989999,1.000088900582341e-12
